region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,"Принято, коммерция",0.67,NA,NA,NA,NA,NA,NA,NA
Самарская область,5,Науки об обществе,"Подано, бюджет",13.91,15.62,15.79,15.29,19.14,15.39,14.34,14.27
Самарская область,5,Науки об обществе,"Подано, коммерция",42.41,46.03,45.93,41.82,41.98,45.71,43.41,40.31
Самарская область,5,Науки об обществе,"Принято, бюджет",10.93,17.37,21.12,13.91,15.36,15.6,12.25,12.37
Самарская область,5,Науки об обществе,"Принято, коммерция",42.86,NA,NA,NA,NA,NA,NA,NA
Самарская область,6,Образование и педагогические науки,"Подано, бюджет",7.09,7.41,7.08,7.79,7.46,7.08,6.28,6.67
Самарская область,6,Образование и педагогические науки,"Подано, коммерция",1.89,1.24,1.48,1.23,0.93,0.74,0.5,0.61
Самарская область,6,Образование и педагогические науки,"Принято, бюджет",7.5,37.54,33,39.54,36.25,39.21,37.11,30.77
Самарская область,6,Образование и педагогические науки,"Принято, коммерция",1.98,NA,NA,NA,NA,NA,NA,NA
Самарская область,7,Гуманитарные науки,"Подано, бюджет",1.04,1.15,0.83,0.96,0.98,1.12,1.25,1.33
Самарская область,7,Гуманитарные науки,"Подано, коммерция",2.44,2.1,1.78,1.78,1.05,1.07,1.21,1.73
Самарская область,7,Гуманитарные науки,"Принято, бюджет",0.88,6.43,4.87,4.56,6.18,6.83,7.52,6.03
Самарская область,7,Гуманитарные науки,"Принято, коммерция",2.73,NA,NA,NA,NA,NA,NA,NA
Самарская область,8,Искусство и культура,"Подано, бюджет",4.41,4.22,5.3,5.47,5.42,5.72,6.18,6.04
Самарская область,8,Искусство и культура,"Подано, коммерция",1,0.84,1.2,1.86,3.61,3.72,5.36,4.94
Самарская область,8,Искусство и культура,"Принято, бюджет",3.63,15.81,16.09,16.58,16.43,14.79,13.8,24.06
Самарская область,8,Искусство и культура,"Принято, коммерция",0.98,NA,NA,NA,NA,NA,NA,NA
