region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Волгоградская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,0.85,0.72,0.58,0.54,0.46,0.69,0.52,0.71
Волгоградская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,0.67,0.55,0.75,0.73,0.96,0.98,0.99,1.07
Волгоградская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,2.09,1.84,1.75,2.01,1.24,0.89,0.91,0.99
Волгоградская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,2.62,2.62,3.24,3.49,2.4,1.79,2.49,1.8
Волгоградская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Поданные,0.31,0.25,0.25,0.25,0.18,0.27,0.27,0.29
Волгоградская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Принятые,0.18,0.19,0.21,0.21,0.2,0.19,0.19,0.16
Волгоградская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,0.89,0.71,0.84,0.9,0.73,0.67,0.69,0.85
Волгоградская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.67,0.7,0.87,0.91,0.75,0.75,0.64,0.72
Волгоградская область,2,"Инженерное дело, технологии и технические науки",28,2.28.00.00 - Нанотехнологии и наноматериалы,Поданные,0.35,0.28,0.39,0.29,0.27,0.35,0.45,0.31
Волгоградская область,2,"Инженерное дело, технологии и технические науки",28,2.28.00.00 - Нанотехнологии и наноматериалы,Принятые,0.18,0.19,0.19,0.19,0.21,0.23,0.4,0.16
Волгоградская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Поданные,0.07,0.08,0.09,0.06,0.07,0.06,0.03,0.04
Волгоградская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Принятые,0.12,0.15,0.25,0.13,0.14,0.19,0.14,0.11
Волгоградская область,3,Здравоохранение и медицинские науки,30,3.30.00.00 - Фундаментальная медицина,Поданные,1.15,1.18,1.32,1.52,1.44,0.92,1.49,1.11
Волгоградская область,3,Здравоохранение и медицинские науки,30,3.30.00.00 - Фундаментальная медицина,Принятые,0.63,0.48,0.57,0.6,0.62,0.42,0.31,0.29
Волгоградская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,8.52,8.27,9.97,12.41,15.39,15.74,12.92,14.44
Волгоградская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,5.63,6.79,7.11,6.34,7.5,9.49,9.57,10.79
Волгоградская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Поданные,1.29,1.21,1.2,1.75,1.82,1.09,1.64,1.21
Волгоградская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Принятые,0.36,0.4,0.48,0.53,0.54,0.55,0.5,0.44
Волгоградская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,1.51,1.56,1.66,2.15,2.1,1.24,1.61,1.36
Волгоградская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,0.59,0.72,0.75,0.9,0.73,0.82,1.36,1.2
Волгоградская область,3,Здравоохранение и медицинские науки,36,3.36.00.00 - Ветеринария и зоотехния,Поданные,0.46,0.51,0.59,0.55,0.54,0.52,0.65,0.68
Волгоградская область,3,Здравоохранение и медицинские науки,36,3.36.00.00 - Ветеринария и зоотехния,Принятые,0.56,0.74,0.81,0.81,0.99,0.99,0.93,0.89
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,2.71,2.69,3.07,2.96,2.06,2.02,2.28,2.27
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,3.5,3.83,4.2,4.04,3.69,3.59,3.73,3.33
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.81,0.68,0.76,0.74,0.47,0.55,0.5,0.61
Волгоградская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,1,0.98,0.64,0.74,0.66,0.62,0.71,0.64
Волгоградская область,5,Науки об обществе,37,5.37.00.00 - Психологические науки,Поданные,1.53,1.59,1.36,1.51,1.51,1.23,1.91,2.53
Волгоградская область,5,Науки об обществе,37,5.37.00.00 - Психологические науки,Принятые,0.88,0.98,0.97,1.31,1.35,1.27,1.36,1.41
Волгоградская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,18.56,16.91,18.54,14.75,12.71,11.68,9.39,9.63
Волгоградская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,20.74,18.17,18.88,17.23,14.39,12.3,13.13,14.27
Волгоградская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,2.65,2.72,2.16,1.37,1.21,2.41,2.81,2.46
Волгоградская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,1.04,1.08,0.91,0.66,0.76,1.06,1.2,1.15
Волгоградская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,7.84,8.35,5.6,6.53,6.03,7.73,6.94,6.83
Волгоградская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,14.59,13.16,9.45,8.09,9.53,10.95,9.86,11.06
Волгоградская область,5,Науки об обществе,41,5.41.00.00 - Политические науки и регионоведение,Поданные,1.18,1.22,1.12,1.32,1.33,2.13,1.76,1.32
