region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Самарская область,5,Науки об обществе,"Подано, бюджет",11.27,9.82,15.35,13.16,16.06,11.71,10.67,10.13
Самарская область,5,Науки об обществе,"Подано, коммерция",50.3,43.57,42.13,41.92,40.66,41.52,39.18,37.89
Самарская область,5,Науки об обществе,"Принято, бюджет",9.77,8.36,7.9,6.36,6.54,5.76,5.51,5.39
Самарская область,5,Науки об обществе,"Принято, коммерция",52.6,49.74,44.46,46,47.84,42.12,44.13,42.62
Самарская область,6,Образование и педагогические науки,"Подано, бюджет",11.71,10.32,11.79,13.23,8.26,8.65,9.57,8.08
Самарская область,6,Образование и педагогические науки,"Подано, коммерция",4.68,7.96,9.15,8.56,8.32,7.71,8.08,6.51
Самарская область,6,Образование и педагогические науки,"Принято, бюджет",9.64,9.95,10.67,11.41,12.04,12.03,10.67,10.18
Самарская область,6,Образование и педагогические науки,"Принято, коммерция",6.44,8.06,8.32,8.18,8.03,6.46,8.93,6.99
Самарская область,7,Гуманитарные науки,"Подано, бюджет",1.39,0.89,1.08,1.33,1.49,2.64,2.27,2.81
Самарская область,7,Гуманитарные науки,"Подано, коммерция",3.23,3.71,3.75,3.47,4.07,4.96,5.15,4.08
Самарская область,7,Гуманитарные науки,"Принято, бюджет",1.45,1.56,1.99,2.48,1.91,2.34,2.21,2.53
Самарская область,7,Гуманитарные науки,"Принято, коммерция",2.95,3.69,4.18,3.67,4.19,4.87,4.9,3.7
Самарская область,8,Искусство и культура,"Подано, бюджет",1.89,1.9,1.52,1.4,1.66,0.93,1.33,1.1
Самарская область,8,Искусство и культура,"Подано, коммерция",1.36,1.04,1.05,1.02,0.86,1.34,1.45,1.91
Самарская область,8,Искусство и культура,"Принято, бюджет",4.02,3.29,3.28,2.55,3.22,2.53,2.97,2.14
Самарская область,8,Искусство и культура,"Принято, коммерция",1.21,1.44,1.33,1.48,1.62,1.44,1.57,1.47
