region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, бюджет",1.08,0,0,0,0.04,0.04,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, коммерция",0.06,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, бюджет",6.14,2.91,2.86,2.12,2.94,0.82,0.73,0.48
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, коммерция",2.17,1.63,1.95,1.52,1.03,0.21,0.09,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, бюджет",7.26,1.19,1.23,0.13,0.04,0,0.04,0.14
Нижегородская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, коммерция",3.25,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, бюджет",0.36,0,0.26,0,0.12,0,0.13,0.36
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, коммерция",0.77,1,0.79,0.59,0.82,1.24,0.85,0.58
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, бюджет",0.18,0,0,0,0,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, коммерция",0.88,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, бюджет",0.9,0.77,0.78,0.49,0.3,0.54,0.53,0.61
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, коммерция",0.54,1.26,1.1,1.52,1.74,1.64,1.46,0.61
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, бюджет",0.63,0,1.1,0.04,0,0,0,0.09
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, коммерция",0.64,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, бюджет",2.38,2.01,1.9,1.67,1.55,2.66,3.05,2.78
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, коммерция",0,0.59,0.56,0.01,0.08,0.24,0.72,0.65
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, бюджет",2.95,0.08,0.04,0.04,0,0,0.04,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, бюджет",10.92,11.31,11.28,12.19,10.32,8.14,7.87,7.81
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, коммерция",6.23,2.51,5.06,5.88,4.14,2.83,2.39,3.52
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, бюджет",11.25,0.41,0.47,0.39,0.38,0.29,0.45,0.41
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, коммерция",5.17,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, бюджет",0.29,0.2,0.19,0.15,0.24,0.23,0.45,0.58
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, коммерция",0,0,0,0,0,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, бюджет",0.17,0,0,0,0,0.04,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Подано, бюджет",4.71,4.94,4.39,3.86,3.27,3.7,3.98,3.94
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Подано, коммерция",7.97,1.43,0.91,0.53,0.5,0.56,0.62,1.09
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Принято, бюджет",4.02,6.3,6.31,6.11,5.97,4.76,5.57,5.32
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Принято, коммерция",1.86,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Подано, бюджет",0.84,0.15,0.38,0.47,0.38,0.34,0.59,0.67
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Подано, коммерция",0.26,0,0.22,0.25,0.16,0.3,0.25,0.25
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Принято, бюджет",0.36,0,0.04,0,0.04,0,0,0
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Принято, коммерция",0.04,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Подано, бюджет",0.43,0.29,0.57,0.45,0.46,0.56,0.47,0.46
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Подано, коммерция",0.01,0,0,0.04,0,0.05,0,0.06
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Принято, бюджет",0.61,0,0,0,0.13,0.12,0.04,0.05
Нижегородская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Принято, коммерция",0.02,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Подано, бюджет",2.35,1.69,1.3,1.21,1.86,1.93,1.73,1.47
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Подано, коммерция",7.03,4.25,4.29,3.56,4.19,5.52,4.55,4.5
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Принято, бюджет",1.37,8.4,11.47,11.96,11.23,12.46,12.62,16.74
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Принято, коммерция",4.43,NA,NA,NA,NA,NA,NA,NA
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Подано, бюджет",0.81,0.64,0.58,0.57,1.15,0.94,0.83,0.71
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Подано, коммерция",5.38,4.46,3.15,2.55,3.08,2.84,3.87,3.26
