field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
3,Здравоохранение и медицинские науки,Курская область,2016,1368,545,605,279,3.02,2.53
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2016,928,514,143,93,2.4,2.14
5,Науки об обществе,Курская область,2016,1032,768,1695,1631,1.43,1.05
6,Образование и педагогические науки,Курская область,2016,460,278,58,53,1.89,1.12
7,Гуманитарные науки,Курская область,2016,120,50,20,20,2.4,1
8,Искусство и культура,Курская область,2016,426,301,26,25,1.52,1.08
2,"Инженерное дело, технологии и технические науки",Курская область,2017,4850,47,486,0,80.9,NA
3,Здравоохранение и медицинские науки,Курская область,2017,1318,100,585,0,64.8,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2017,979,5,136,0,64.69,NA
5,Науки об обществе,Курская область,2017,1291,112,1405,0,35.52,NA
6,Образование и педагогические науки,Курская область,2017,458,328,66,0,1.44,NA
7,Гуманитарные науки,Курская область,2017,105,77,27,0,1.36,NA
8,Искусство и культура,Курская область,2017,522,288,76,0,2.28,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2018,5083,49,661,0,60.88,NA
3,Здравоохранение и медицинские науки,Курская область,2018,1390,134,657,0,73.3,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2018,1156,4,179,0,139.72,NA
5,Науки об обществе,Курская область,2018,1346,82,1269,0,45.58,NA
6,Образование и педагогические науки,Курская область,2018,469,388,111,0,1.31,NA
7,Гуманитарные науки,Курская область,2018,128,81,31,0,1.58,NA
8,Искусство и культура,Курская область,2018,520,285,49,0,5.56,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2019,5506,44,896,0,112.09,NA
3,Здравоохранение и медицинские науки,Курская область,2019,1556,128,859,0,95.71,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2019,1338,3,337,0,111.6,NA
5,Науки об обществе,Курская область,2019,1307,72,1093,0,42.86,NA
6,Образование и педагогические науки,Курская область,2019,577,291,102,0,2.3,NA
7,Гуманитарные науки,Курская область,2019,165,60,36,0,2.75,NA
8,Искусство и культура,Курская область,2019,610,288,86,0,7.5,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2020,5980,30,896,0,140.41,NA
3,Здравоохранение и медицинские науки,Курская область,2020,1621,160,1328,0,107.01,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2020,1464,7,379,0,160.37,NA
5,Науки об обществе,Курская область,2020,1371,58,1191,0,56.38,NA
6,Образование и педагогические науки,Курская область,2020,625,301,105,0,2.48,NA
7,Гуманитарные науки,Курская область,2020,152,56,35,0,2.71,NA
8,Искусство и культура,Курская область,2020,445,293,56,0,6.41,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2021,5054,42,663,0,105.47,NA
3,Здравоохранение и медицинские науки,Курская область,2021,2005,163,1340,0,133.84,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2021,1424,8,440,0,108.16,NA
5,Науки об обществе,Курская область,2021,1230,79,988,0,34.14,NA
6,Образование и педагогические науки,Курская область,2021,598,223,89,0,12.92,NA
7,Гуманитарные науки,Курская область,2021,152,54,29,0,2.81,NA
8,Искусство и культура,Курская область,2021,534,282,73,0,5.89,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2022,5332,46,790,0,122.06,NA
3,Здравоохранение и медицинские науки,Курская область,2022,1866,141,1182,0,101.93,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2022,1312,3,526,0,115.91,NA
5,Науки об обществе,Курская область,2022,1679,100,1093,0,47.8,NA
6,Образование и педагогические науки,Курская область,2022,584,240,69,0,2.61,NA
7,Гуманитарные науки,Курская область,2022,165,58,33,0,2.84,NA
8,Искусство и культура,Курская область,2022,479,293,61,0,2.34,NA
2,"Инженерное дело, технологии и технические науки",Курская область,2023,5552,60,1165,0,124.56,NA
3,Здравоохранение и медицинские науки,Курская область,2023,2242,34,1363,0,84.7,NA
4,Сельское хозяйство и сельскохозяйственные науки,Курская область,2023,1116,147,528,0,6.66,NA
5,Науки об обществе,Курская область,2023,1511,40,1337,0,81.64,NA
6,Образование и педагогические науки,Курская область,2023,740,278,138,0,2.61,NA
7,Гуманитарные науки,Курская область,2023,125,91,41,0,1.37,NA
8,Искусство и культура,Курская область,2023,558,295,95,0,4.6,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2016,3419,2927,378,312,1.19,1.44
3,Здравоохранение и медицинские науки,Ленинградская область,2016,565,344,163,130,1.68,1.27
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2016,987,934,3,3,1.06,1
5,Науки об обществе,Ленинградская область,2016,364,247,426,387,1.55,1.09
6,Образование и педагогические науки,Ленинградская область,2016,291,164,242,151,1.92,1.7
7,Гуманитарные науки,Ленинградская область,2016,172,75,9,9,2.29,1
8,Искусство и культура,Ленинградская область,2016,50,50,0,0,1,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2017,3584,90,306,0,132.31,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2017,746,116,110,0,65.3,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2017,848,1,19,0,162,NA
5,Науки об обществе,Ленинградская область,2017,506,94,368,0,5.11,NA
6,Образование и педагогические науки,Ленинградская область,2017,370,263,75,0,1.41,NA
7,Гуманитарные науки,Ленинградская область,2017,167,91,16,0,1.86,NA
8,Искусство и культура,Ленинградская область,2017,53,0,0,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2018,4327,111,543,0,80.38,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2018,594,109,122,0,155.46,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2018,952,3,7,0,70.22,NA
5,Науки об обществе,Ленинградская область,2018,588,84,398,0,29.87,NA
6,Образование и педагогические науки,Ленинградская область,2018,325,317,135,0,1.14,NA
7,Гуманитарные науки,Ленинградская область,2018,189,112,11,0,1.72,NA
8,Искусство и культура,Ленинградская область,2018,58,0,1,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2019,4240,97,557,0,89.53,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2019,608,124,112,0,1.46,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2019,1034,9,33,0,116.11,NA
5,Науки об обществе,Ленинградская область,2019,911,143,483,0,30.08,NA
6,Образование и педагогические науки,Ленинградская область,2019,397,262,126,0,1.87,NA
7,Гуманитарные науки,Ленинградская область,2019,241,110,40,0,2.19,NA
8,Искусство и культура,Ленинградская область,2019,56,1,0,0,56,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2020,5419,78,621,0,138.08,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2020,943,122,151,0,81.89,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2020,1192,4,30,0,76.39,NA
5,Науки об обществе,Ленинградская область,2020,901,109,497,0,72.67,NA
6,Образование и педагогические науки,Ленинградская область,2020,497,321,114,0,1.8,NA
7,Гуманитарные науки,Ленинградская область,2020,304,132,37,0,2.42,NA
8,Искусство и культура,Ленинградская область,2020,96,0,7,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2021,4552,25,412,0,127.9,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2021,760,171,177,0,32.39,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2021,984,1,28,0,26,NA
5,Науки об обществе,Ленинградская область,2021,1142,59,412,0,78.56,NA
6,Образование и педагогические науки,Ленинградская область,2021,528,332,127,0,1.8,NA
7,Гуманитарные науки,Ленинградская область,2021,238,99,10,0,2.61,NA
8,Искусство и культура,Ленинградская область,2021,117,0,7,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2022,4699,28,598,0,107.49,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2022,602,149,145,0,82.71,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2022,1005,7,59,0,71.15,NA
5,Науки об обществе,Ленинградская область,2022,1401,88,416,0,230.5,NA
6,Образование и педагогические науки,Ленинградская область,2022,522,320,109,0,1.89,NA
7,Гуманитарные науки,Ленинградская область,2022,292,127,35,0,2.46,NA
8,Искусство и культура,Ленинградская область,2022,103,1,11,0,103,NA
2,"Инженерное дело, технологии и технические науки",Ленинградская область,2023,5179,28,943,0,141.64,NA
3,Здравоохранение и медицинские науки,Ленинградская область,2023,788,114,114,0,128.46,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ленинградская область,2023,804,4,74,0,37.67,NA
5,Науки об обществе,Ленинградская область,2023,1378,50,710,0,99.84,NA
6,Образование и педагогические науки,Ленинградская область,2023,741,251,70,0,3.13,NA
7,Гуманитарные науки,Ленинградская область,2023,250,102,59,0,2.51,NA
8,Искусство и культура,Ленинградская область,2023,104,0,18,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2016,4325,3462,504,437,1.38,1.35
3,Здравоохранение и медицинские науки,Липецкая область,2016,899,343,614,447,2.68,1.43
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2016,629,624,13,13,1.01,1
5,Науки об обществе,Липецкая область,2016,1203,1019,506,423,1.19,1.22
6,Образование и педагогические науки,Липецкая область,2016,169,150,35,34,1.16,1.04
7,Гуманитарные науки,Липецкая область,2016,104,94,12,11,1.11,1.09
8,Искусство и культура,Липецкая область,2016,343,211,18,18,1.86,1
2,"Инженерное дело, технологии и технические науки",Липецкая область,2017,4744,68,678,0,71.11,NA
3,Здравоохранение и медицинские науки,Липецкая область,2017,904,103,633,0,230.8,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2017,664,1,21,0,23,NA
5,Науки об обществе,Липецкая область,2017,1243,37,353,0,56.76,NA
6,Образование и педагогические науки,Липецкая область,2017,229,242,51,0,1.01,NA
7,Гуманитарные науки,Липецкая область,2017,73,46,2,0,9.27,NA
8,Искусство и культура,Липецкая область,2017,333,202,23,0,1.95,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2018,5350,110,812,0,62,NA
3,Здравоохранение и медицинские науки,Липецкая область,2018,939,139,855,0,76.42,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2018,761,7,12,0,95.78,NA
5,Науки об обществе,Липецкая область,2018,1459,61,507,0,75.22,NA
6,Образование и педагогические науки,Липецкая область,2018,329,225,51,0,1.91,NA
7,Гуманитарные науки,Липецкая область,2018,87,41,0,0,10.72,NA
8,Искусство и культура,Липецкая область,2018,351,219,24,0,1.66,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2019,5693,51,986,0,147.97,NA
3,Здравоохранение и медицинские науки,Липецкая область,2019,1365,125,909,0,117.78,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2019,819,8,52,0,76.18,NA
5,Науки об обществе,Липецкая область,2019,1707,41,684,0,77.69,NA
6,Образование и педагогические науки,Липецкая область,2019,384,310,63,0,1.34,NA
7,Гуманитарные науки,Липецкая область,2019,93,42,0,0,8.61,NA
8,Искусство и культура,Липецкая область,2019,381,223,45,0,2.03,NA
1,Математические и естественные науки,Липецкая область,2020,0,0,0,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2020,6773,78,1393,0,85.34,NA
3,Здравоохранение и медицинские науки,Липецкая область,2020,1672,125,1005,0,155.02,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2020,872,8,66,0,95.65,NA
5,Науки об обществе,Липецкая область,2020,2045,46,991,0,85.87,NA
6,Образование и педагогические науки,Липецкая область,2020,404,233,76,0,1.96,NA
7,Гуманитарные науки,Липецкая область,2020,142,2,0,0,39,NA
8,Искусство и культура,Липецкая область,2020,396,218,58,0,2.61,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2021,6691,62,890,0,109.49,NA
3,Здравоохранение и медицинские науки,Липецкая область,2021,1316,39,765,0,73.83,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2021,732,9,40,0,73.13,NA
5,Науки об обществе,Липецкая область,2021,2283,69,802,0,119.81,NA
6,Образование и педагогические науки,Липецкая область,2021,437,266,25,0,1.75,NA
7,Гуманитарные науки,Липецкая область,2021,150,40,0,0,32.51,NA
8,Искусство и культура,Липецкая область,2021,336,199,74,0,1.89,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2022,7921,53,1775,0,222.24,NA
3,Здравоохранение и медицинские науки,Липецкая область,2022,1532,58,902,0,108.3,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2022,978,6,61,0,74.27,NA
5,Науки об обществе,Липецкая область,2022,2152,14,1301,0,158.35,NA
6,Образование и педагогические науки,Липецкая область,2022,411,194,12,0,2.33,NA
7,Гуманитарные науки,Липецкая область,2022,237,43,10,0,21.1,NA
8,Искусство и культура,Липецкая область,2022,500,209,77,0,4.04,NA
2,"Инженерное дело, технологии и технические науки",Липецкая область,2023,9598,157,1953,0,154.97,NA
3,Здравоохранение и медицинские науки,Липецкая область,2023,2713,112,1203,0,109.47,NA
4,Сельское хозяйство и сельскохозяйственные науки,Липецкая область,2023,1240,5,66,0,170.4,NA
5,Науки об обществе,Липецкая область,2023,2840,41,1644,0,162.79,NA
6,Образование и педагогические науки,Липецкая область,2023,558,157,103,0,4.81,NA
7,Гуманитарные науки,Липецкая область,2023,162,2,82,0,48.5,NA
8,Искусство и культура,Липецкая область,2023,481,237,150,0,2.02,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2016,1004,839,86,86,1.26,1
3,Здравоохранение и медицинские науки,Магаданская область,2016,131,97,29,25,1.38,1.19
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2016,74,60,3,3,1.32,1
5,Науки об обществе,Магаданская область,2016,194,167,125,108,1.19,1.17
8,Искусство и культура,Магаданская область,2016,102,80,5,5,1.36,1
2,"Инженерное дело, технологии и технические науки",Магаданская область,2017,993,2,52,0,65.14,NA
3,Здравоохранение и медицинские науки,Магаданская область,2017,171,31,30,0,30.48,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2017,52,0,0,0,NA,NA
5,Науки об обществе,Магаданская область,2017,232,0,41,0,NA,NA
8,Искусство и культура,Магаданская область,2017,79,38,9,0,3.22,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2018,830,1,74,0,30,NA
3,Здравоохранение и медицинские науки,Магаданская область,2018,156,31,44,0,1.52,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2018,80,0,0,0,NA,NA
5,Науки об обществе,Магаданская область,2018,323,0,102,0,NA,NA
8,Искусство и культура,Магаданская область,2018,73,21,1,0,14.36,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2019,788,3,95,0,44.3,NA
3,Здравоохранение и медицинские науки,Магаданская область,2019,158,29,51,0,1.17,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2019,98,22,0,0,2.59,NA
5,Науки об обществе,Магаданская область,2019,203,1,38,0,31,NA
6,Образование и педагогические науки,Магаданская область,2019,60,22,8,0,1,NA
8,Искусство и культура,Магаданская область,2019,91,24,5,0,1.16,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2020,877,36,68,0,15.09,NA
3,Здравоохранение и медицинские науки,Магаданская область,2020,172,31,38,0,32.91,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2020,47,0,2,0,NA,NA
5,Науки об обществе,Магаданская область,2020,366,3,28,0,53.06,NA
6,Образование и педагогические науки,Магаданская область,2020,40,41,0,0,0.98,NA
7,Гуманитарные науки,Магаданская область,2020,24,0,0,0,NA,NA
8,Искусство и культура,Магаданская область,2020,97,41,4,0,2.83,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2021,740,32,5,0,13.39,NA
3,Здравоохранение и медицинские науки,Магаданская область,2021,175,30,36,0,1.27,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2021,44,0,0,0,NA,NA
5,Науки об обществе,Магаданская область,2021,229,1,27,0,50,NA
6,Образование и педагогические науки,Магаданская область,2021,40,32,0,0,1.3,NA
7,Гуманитарные науки,Магаданская область,2021,39,19,0,0,1,NA
8,Искусство и культура,Магаданская область,2021,91,31,9,0,17.8,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2022,877,35,9,0,25.94,NA
3,Здравоохранение и медицинские науки,Магаданская область,2022,193,28,25,0,1.32,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2022,57,0,0,0,NA,NA
5,Науки об обществе,Магаданская область,2022,296,1,4,0,45,NA
6,Образование и педагогические науки,Магаданская область,2022,37,37,0,0,1,NA
8,Искусство и культура,Магаданская область,2022,148,38,10,0,1.33,NA
2,"Инженерное дело, технологии и технические науки",Магаданская область,2023,919,0,9,0,NA,NA
3,Здравоохранение и медицинские науки,Магаданская область,2023,165,29,32,0,15.32,NA
4,Сельское хозяйство и сельскохозяйственные науки,Магаданская область,2023,56,0,0,0,NA,NA
5,Науки об обществе,Магаданская область,2023,438,1,4,0,40,NA
6,Образование и педагогические науки,Магаданская область,2023,33,15,1,0,0.93,NA
8,Искусство и культура,Магаданская область,2023,170,59,14,0,1.75,NA
1,Математические и естественные науки,Московская область,2016,50,40,6,6,1.28,1
2,"Инженерное дело, технологии и технические науки",Московская область,2016,17587,12011,2084,1887,1.64,1.13
3,Здравоохранение и медицинские науки,Московская область,2016,3275,1615,789,591,2.08,1.37
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2016,1447,1004,297,273,1.74,1.12
5,Науки об обществе,Московская область,2016,3216,2336,5304,4703,1.44,1.14
6,Образование и педагогические науки,Московская область,2016,1207,582,234,224,2.32,1.06
7,Гуманитарные науки,Московская область,2016,623,330,253,209,1.97,1.21
8,Искусство и культура,Московская область,2016,1650,847,619,380,2.22,1.93
1,Математические и естественные науки,Московская область,2017,60,0,10,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2017,21130,402,2078,0,200.86,NA
3,Здравоохранение и медицинские науки,Московская область,2017,3739,324,1188,0,164.14,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2017,2074,10,357,0,99.02,NA
5,Науки об обществе,Московская область,2017,6309,494,5748,0,170.67,NA
6,Образование и педагогические науки,Московская область,2017,1216,715,216,0,1.88,NA
7,Гуманитарные науки,Московская область,2017,896,649,384,0,2.35,NA
8,Искусство и культура,Московская область,2017,1733,850,648,0,2.8,NA
1,Математические и естественные науки,Московская область,2018,84,0,5,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2018,22390,334,2962,0,191.46,NA
3,Здравоохранение и медицинские науки,Московская область,2018,3701,310,1326,0,307.74,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2018,2104,14,473,0,122.23,NA
5,Науки об обществе,Московская область,2018,6585,431,7036,0,199.99,NA
6,Образование и педагогические науки,Московская область,2018,1715,869,364,0,2.91,NA
7,Гуманитарные науки,Московская область,2018,1113,665,336,0,3.08,NA
8,Искусство и культура,Московская область,2018,2193,675,788,0,31.04,NA
1,Математические и естественные науки,Московская область,2019,95,0,5,0,NA,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2019,29963,202,3317,0,281.44,NA
3,Здравоохранение и медицинские науки,Московская область,2019,4479,370,1599,0,195.4,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2019,2396,7,392,0,259.09,NA
5,Науки об обществе,Московская область,2019,6859,384,8094,0,148.75,NA
6,Образование и педагогические науки,Московская область,2019,1866,991,609,0,2.94,NA
7,Гуманитарные науки,Московская область,2019,816,665,414,0,1.64,NA
8,Искусство и культура,Московская область,2019,2510,731,1002,0,29.08,NA
1,Математические и естественные науки,Московская область,2020,147,1,7,0,34,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2020,56602,207,5465,0,446.51,NA
3,Здравоохранение и медицинские науки,Московская область,2020,8090,485,2506,0,171.87,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2020,3719,12,586,0,268.12,NA
5,Науки об обществе,Московская область,2020,16134,312,9916,0,393.13,NA
6,Образование и педагогические науки,Московская область,2020,2385,988,664,0,3.53,NA
7,Гуманитарные науки,Московская область,2020,1188,664,505,0,4.07,NA
8,Искусство и культура,Московская область,2020,3229,756,1142,0,86.95,NA
1,Математические и естественные науки,Московская область,2021,106,3,5,0,67.49,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2021,44728,250,3979,0,228.88,NA
3,Здравоохранение и медицинские науки,Московская область,2021,7260,414,2137,0,165.62,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2021,2650,16,480,0,137.96,NA
5,Науки об обществе,Московская область,2021,15087,306,9593,0,178.43,NA
6,Образование и педагогические науки,Московская область,2021,2456,903,780,0,3.65,NA
7,Гуманитарные науки,Московская область,2021,1254,674,473,0,60.08,NA
8,Искусство и культура,Московская область,2021,3815,802,1547,0,67.1,NA
1,Математические и естественные науки,Московская область,2022,119,3,13,0,26,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2022,51774,215,5554,0,332.91,NA
3,Здравоохранение и медицинские науки,Московская область,2022,6797,436,1906,0,106.07,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2022,2510,15,471,0,142.95,NA
5,Науки об обществе,Московская область,2022,16864,224,10228,0,149.73,NA
6,Образование и педагогические науки,Московская область,2022,2610,1114,948,0,3.49,NA
7,Гуманитарные науки,Московская область,2022,1512,737,468,0,24.15,NA
8,Искусство и культура,Московская область,2022,4342,753,1756,0,133.52,NA
1,Математические и естественные науки,Московская область,2023,97,1,1,0,87,NA
2,"Инженерное дело, технологии и технические науки",Московская область,2023,49094,205,6914,0,393.53,NA
3,Здравоохранение и медицинские науки,Московская область,2023,8424,501,4028,0,155.48,NA
4,Сельское хозяйство и сельскохозяйственные науки,Московская область,2023,2908,16,508,0,198.91,NA
5,Науки об обществе,Московская область,2023,16387,154,10981,0,285.06,NA
6,Образование и педагогические науки,Московская область,2023,2345,750,1115,0,8.47,NA
7,Гуманитарные науки,Московская область,2023,1414,335,531,0,121.76,NA
8,Искусство и культура,Московская область,2023,4412,753,1932,0,97.16,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2016,3308,2327,881,805,1.53,1.11
3,Здравоохранение и медицинские науки,Мурманская область,2016,853,407,194,128,2.2,1.57
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2016,83,72,18,17,1.17,1
5,Науки об обществе,Мурманская область,2016,1030,651,365,301,1.66,1.25
6,Образование и педагогические науки,Мурманская область,2016,418,185,140,121,2.4,1.25
7,Гуманитарные науки,Мурманская область,2016,155,132,36,33,1.19,1.09
8,Искусство и культура,Мурманская область,2016,191,99,20,20,2.28,1
2,"Инженерное дело, технологии и технические науки",Мурманская область,2017,3668,126,927,0,28.04,NA
3,Здравоохранение и медицинские науки,Мурманская область,2017,869,151,140,0,51.69,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2017,184,0,10,0,NA,NA
5,Науки об обществе,Мурманская область,2017,1128,211,484,0,67.94,NA
6,Образование и педагогические науки,Мурманская область,2017,387,351,67,0,1.22,NA
7,Гуманитарные науки,Мурманская область,2017,105,137,37,0,1.06,NA
8,Искусство и культура,Мурманская область,2017,198,62,31,0,19.64,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2018,4675,114,1097,0,49.39,NA
3,Здравоохранение и медицинские науки,Мурманская область,2018,867,141,236,0,39.44,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2018,311,0,1,0,NA,NA
5,Науки об обществе,Мурманская область,2018,1499,74,586,0,112.99,NA
6,Образование и педагогические науки,Мурманская область,2018,562,391,101,0,1.63,NA
7,Гуманитарные науки,Мурманская область,2018,161,134,35,0,3.37,NA
8,Искусство и культура,Мурманская область,2018,153,62,23,0,2.85,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2019,5656,44,1004,0,147.14,NA
3,Здравоохранение и медицинские науки,Мурманская область,2019,984,123,365,0,94.71,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2019,353,0,9,0,NA,NA
5,Науки об обществе,Мурманская область,2019,1664,44,613,0,115.1,NA
6,Образование и педагогические науки,Мурманская область,2019,509,332,67,0,1.78,NA
7,Гуманитарные науки,Мурманская область,2019,111,123,25,0,1.1,NA
8,Искусство и культура,Мурманская область,2019,158,62,18,0,13.04,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2020,5676,43,961,0,210.93,NA
3,Здравоохранение и медицинские науки,Мурманская область,2020,1007,107,293,0,189.94,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2020,329,1,16,0,163,NA
5,Науки об обществе,Мурманская область,2020,2129,50,724,0,99.79,NA
6,Образование и педагогические науки,Мурманская область,2020,427,313,133,0,1.57,NA
7,Гуманитарные науки,Мурманская область,2020,121,119,19,0,1.12,NA
8,Искусство и культура,Мурманская область,2020,211,60,43,0,3.43,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2021,4602,45,782,0,146.01,NA
3,Здравоохранение и медицинские науки,Мурманская область,2021,899,136,383,0,66.91,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2021,304,0,12,0,NA,NA
5,Науки об обществе,Мурманская область,2021,1715,41,565,0,153.05,NA
6,Образование и педагогические науки,Мурманская область,2021,345,266,83,0,1.41,NA
7,Гуманитарные науки,Мурманская область,2021,137,122,22,0,0.93,NA
8,Искусство и культура,Мурманская область,2021,192,60,72,0,13.67,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2022,5433,57,959,0,194.7,NA
3,Здравоохранение и медицинские науки,Мурманская область,2022,888,100,325,0,64.39,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2022,248,1,16,0,97,NA
5,Науки об обществе,Мурманская область,2022,2084,50,631,0,99.26,NA
6,Образование и педагогические науки,Мурманская область,2022,331,270,68,0,1.31,NA
7,Гуманитарные науки,Мурманская область,2022,152,113,24,0,5.35,NA
8,Искусство и культура,Мурманская область,2022,270,61,42,0,47.61,NA
2,"Инженерное дело, технологии и технические науки",Мурманская область,2023,6228,19,957,0,216.5,NA
3,Здравоохранение и медицинские науки,Мурманская область,2023,1190,139,365,0,160.58,NA
4,Сельское хозяйство и сельскохозяйственные науки,Мурманская область,2023,277,0,16,0,NA,NA
5,Науки об обществе,Мурманская область,2023,1890,28,791,0,125.37,NA
6,Образование и педагогические науки,Мурманская область,2023,430,229,73,0,2.04,NA
7,Гуманитарные науки,Мурманская область,2023,137,93,10,0,8.09,NA
8,Искусство и культура,Мурманская область,2023,220,62,68,0,10.34,NA
2,"Инженерное дело, технологии и технические науки",Ненецкий автономный округ,2016,170,86,38,24,2.05,1.58
4,Сельское хозяйство и сельскохозяйственные науки,Ненецкий автономный округ,2016,18,27,0,0,0.67,NA
5,Науки об обществе,Ненецкий автономный округ,2016,68,54,73,70,1.27,1.05
7,Гуманитарные науки,Ненецкий автономный округ,2016,32,25,1,0,1.28,NA
8,Искусство и культура,Ненецкий автономный округ,2016,36,25,0,0,1.44,NA
2,"Инженерное дело, технологии и технические науки",Ненецкий автономный округ,2017,141,0,35,0,NA,NA
3,Здравоохранение и медицинские науки,Ненецкий автономный округ,2017,2,0,35,0,NA,NA
4,Сельское хозяйство и сельскохозяйственные науки,Ненецкий автономный округ,2017,30,0,0,0,NA,NA
5,Науки об обществе,Ненецкий автономный округ,2017,82,1,119,0,39,NA
6,Образование и педагогические науки,Ненецкий автономный округ,2017,34,27,2,0,1.26,NA
7,Гуманитарные науки,Ненецкий автономный округ,2017,0,1,1,0,NA,NA
