field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
3,Здравоохранение и медицинские науки,Амурская область,2017,771,122,300,0,214.04,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2017,705,1,58,0,49,NA
5,Науки об обществе,Амурская область,2017,1394,116,617,0,13.23,NA
6,Образование и педагогические науки,Амурская область,2017,425,197,89,0,2.74,NA
7,Гуманитарные науки,Амурская область,2017,278,140,47,0,2.64,NA
8,Искусство и культура,Амурская область,2017,272,56,31,0,5.23,NA
2,"Инженерное дело, технологии и технические науки",Амурская область,2018,5598,84,1131,0,74.67,NA
3,Здравоохранение и медицинские науки,Амурская область,2018,826,129,346,0,127.57,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2018,1053,1,104,0,29,NA
5,Науки об обществе,Амурская область,2018,1524,35,717,0,121.26,NA
6,Образование и педагогические науки,Амурская область,2018,509,222,123,0,2.79,NA
7,Гуманитарные науки,Амурская область,2018,308,133,35,0,2.94,NA
8,Искусство и культура,Амурская область,2018,285,49,31,0,28.62,NA
2,"Инженерное дело, технологии и технические науки",Амурская область,2019,6305,92,1065,0,76.16,NA
3,Здравоохранение и медицинские науки,Амурская область,2019,885,145,397,0,101.61,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2019,789,2,158,0,41.67,NA
5,Науки об обществе,Амурская область,2019,1819,4,891,0,144.56,NA
6,Образование и педагогические науки,Амурская область,2019,544,275,155,0,2.57,NA
7,Гуманитарные науки,Амурская область,2019,328,151,54,0,3.06,NA
8,Искусство и культура,Амурская область,2019,336,59,48,0,2.68,NA
2,"Инженерное дело, технологии и технические науки",Амурская область,2020,7601,79,1417,0,121.66,NA
3,Здравоохранение и медицинские науки,Амурская область,2020,1213,151,488,0,141.66,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2020,1060,1,254,0,68,NA
5,Науки об обществе,Амурская область,2020,2145,9,1153,0,122.4,NA
6,Образование и педагогические науки,Амурская область,2020,873,260,207,0,4.32,NA
7,Гуманитарные науки,Амурская область,2020,393,98,16,0,5.66,NA
8,Искусство и культура,Амурская область,2020,395,60,86,0,4.03,NA
2,"Инженерное дело, технологии и технические науки",Амурская область,2021,7012,84,1005,0,112.38,NA
3,Здравоохранение и медицинские науки,Амурская область,2021,957,123,368,0,283.11,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2021,1311,1,122,0,184,NA
5,Науки об обществе,Амурская область,2021,1954,6,1018,0,200.22,NA
6,Образование и педагогические науки,Амурская область,2021,789,186,121,0,5.12,NA
7,Гуманитарные науки,Амурская область,2021,249,93,23,0,2.81,NA
8,Искусство и культура,Амурская область,2021,335,63,46,0,14.3,NA
2,"Инженерное дело, технологии и технические науки",Амурская область,2022,8805,57,1372,0,165.98,NA
3,Здравоохранение и медицинские науки,Амурская область,2022,979,121,373,0,35.65,NA
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2022,1423,3,263,0,181.13,NA
5,Науки об обществе,Амурская область,2022,2071,4,811,0,230.75,NA
6,Образование и педагогические науки,Амурская область,2022,804,204,142,0,4.88,NA
7,Гуманитарные науки,Амурская область,2022,345,105,24,0,3.8,NA
8,Искусство и культура,Амурская область,2022,432,56,42,0,30.53,NA
