field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
1,Математические и естественные науки,Амурская область,2016,350,127,5,3,3.19,1.8
2,"Инженерное дело, технологии и технические науки",Амурская область,2016,2465,718,647,474,4.2,1.42
3,Здравоохранение и медицинские науки,Амурская область,2016,949,305,60,38,3.87,1.71
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2016,604,230,64,55,2.73,1.18
5,Науки об обществе,Амурская область,2016,1926,201,1170,724,11.87,1.8
6,Образование и педагогические науки,Амурская область,2016,1513,452,136,127,3.61,1.05
7,Гуманитарные науки,Амурская область,2016,152,24,88,69,8.8,1.33
8,Искусство и культура,Амурская область,2016,49,20,11,9,2.56,1.22
1,Математические и естественные науки,Амурская область,2017,381,116,3,3,4.55,1
2,"Инженерное дело, технологии и технические науки",Амурская область,2017,2608,632,697,534,4.82,1.34
3,Здравоохранение и медицинские науки,Амурская область,2017,1033,305,135,49,4.52,3.2
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2017,597,215,40,36,2.95,1.14
5,Науки об обществе,Амурская область,2017,1680,128,1105,693,17.31,1.79
6,Образование и педагогические науки,Амурская область,2017,1752,464,171,155,4.02,1.14
7,Гуманитарные науки,Амурская область,2017,267,36,106,93,9.62,1.16
8,Искусство и культура,Амурская область,2017,102,23,8,4,4.45,2.12
1,Математические и естественные науки,Амурская область,2018,431,110,23,8,4.56,6.54
2,"Инженерное дело, технологии и технические науки",Амурская область,2018,2486,659,773,641,4.41,1.24
3,Здравоохранение и медицинские науки,Амурская область,2018,1039,310,196,55,4.32,4.45
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2018,749,229,17,11,3.48,1.49
5,Науки об обществе,Амурская область,2018,1484,124,1147,599,14.52,2.22
6,Образование и педагогические науки,Амурская область,2018,1672,482,144,139,3.87,1.04
7,Гуманитарные науки,Амурская область,2018,268,38,68,52,9.11,1.42
8,Искусство и культура,Амурская область,2018,88,22,8,7,4.18,1.15
1,Математические и естественные науки,Амурская область,2019,417,90,30,22,5.82,1.87
2,"Инженерное дело, технологии и технические науки",Амурская область,2019,2650,602,832,678,5.02,1.23
3,Здравоохранение и медицинские науки,Амурская область,2019,1143,315,269,63,4.9,5.33
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2019,739,225,37,26,3.39,1.49
5,Науки об обществе,Амурская область,2019,2351,187,982,566,14.48,1.94
6,Образование и педагогические науки,Амурская область,2019,1812,516,136,129,3.9,1.06
7,Гуманитарные науки,Амурская область,2019,391,65,103,71,7.98,1.47
8,Искусство и культура,Амурская область,2019,103,22,5,4,4.75,1
1,Математические и естественные науки,Амурская область,2020,346,98,9,2,4.84,1
2,"Инженерное дело, технологии и технические науки",Амурская область,2020,3048,576,710,373,5.96,1.67
3,Здравоохранение и медицинские науки,Амурская область,2020,1697,310,397,78,7.01,4.21
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2020,750,213,23,26,3.65,1.01
5,Науки об обществе,Амурская область,2020,2539,152,1167,408,20.06,4.92
6,Образование и педагогические науки,Амурская область,2020,1952,511,163,113,4.02,1.5
7,Гуманитарные науки,Амурская область,2020,442,66,167,89,12.26,2.84
8,Искусство и культура,Амурская область,2020,142,19,33,6,7.5,6.6
1,Математические и естественные науки,Амурская область,2021,443,103,21,11,6.57,1.18
2,"Инженерное дело, технологии и технические науки",Амурская область,2021,2763,618,868,560,5.21,1.4
3,Здравоохранение и медицинские науки,Амурская область,2021,1655,362,452,67,6.35,42.58
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2021,959,225,44,24,4.47,1.36
5,Науки об обществе,Амурская область,2021,2383,178,1150,406,17.07,4.13
6,Образование и педагогические науки,Амурская область,2021,1706,424,244,188,4.15,1.23
7,Гуманитарные науки,Амурская область,2021,441,63,163,96,11.13,1.93
8,Искусство и культура,Амурская область,2021,61,15,13,6,4.07,2
1,Математические и естественные науки,Амурская область,2022,447,100,19,1,6.98,1
2,"Инженерное дело, технологии и технические науки",Амурская область,2022,3074,617,772,428,6.92,2.24
3,Здравоохранение и медицинские науки,Амурская область,2022,1483,339,464,49,5.8,52.33
4,Сельское хозяйство и сельскохозяйственные науки,Амурская область,2022,1071,227,59,28,5.01,2.52
5,Науки об обществе,Амурская область,2022,2822,240,911,277,13.94,5.27
6,Образование и педагогические науки,Амурская область,2022,2062,469,322,236,4.45,1.4
7,Гуманитарные науки,Амурская область,2022,391,54,100,63,10.32,2.66
8,Искусство и культура,Амурская область,2022,136,12,29,10,14.84,2.91
1,Математические и естественные науки,Амурская область,2023,471,87,65,11,6.86,3.27
