region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,0.29,0.27,0.31,0.41,0.35,0.35,0.34,0.42
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,1.28,1.23,1.18,1.05,0.87,1.39,1.3,1.24
Нижегородская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,0.8,0.66,0.64,0.77,0.79,0.65,0.58,0.56
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,0.63,0.45,0.57,0.57,0.44,0.37,0.38,0.37
Нижегородская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,0.96,0.74,0.72,0.69,0.55,0.44,0.63,0.69
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,2.78,3.07,2.74,2.52,2.42,1.83,1.68,1.94
Нижегородская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,3.03,3.34,3.54,4.04,3.37,3.61,3.49,3.62
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Поданные,0.15,0.13,0.18,0.2,0.21,0.19,0.23,0.15
Нижегородская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Принятые,0.19,0.19,0.23,0.21,0.22,0.26,0.2,0.17
Нижегородская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Поданные,0.25,0.23,0.23,0.22,0.2,0.2,0.19,0.22
Нижегородская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Принятые,0.28,0.19,0.26,0.27,0.19,0.27,0.25,0.31
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,2.46,2.53,2.34,2.22,2.18,1.78,1.98,2.16
Нижегородская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,3.05,3.22,3.27,3.07,3.16,2.72,2.38,2.93
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,1.04,1.03,1.38,1.28,1.06,1.44,1.1,1.06
Нижегородская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.63,0.64,1.01,0.97,1,1.15,0.86,0.87
Нижегородская область,2,"Инженерное дело, технологии и технические науки",28,2.28.00.00 - Нанотехнологии и наноматериалы,Поданные,0.26,0.37,0.36,0.33,0.19,0.45,0.46,0.39
Нижегородская область,2,"Инженерное дело, технологии и технические науки",28,2.28.00.00 - Нанотехнологии и наноматериалы,Принятые,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.15
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,4.35,4.43,4.6,6.07,7.09,5.5,5.5,4.87
Нижегородская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,3.68,4.16,3.53,6.11,9.68,9.03,8.59,8.27
Нижегородская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Поданные,0.68,0.76,0.6,0.67,0.64,0.37,0.48,0.39
Нижегородская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Принятые,0.34,0.34,0.31,0.24,0.27,0.34,0.35,0.31
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,0.61,0.64,0.63,0.62,0.66,0.37,0.45,0.43
Нижегородская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,0.23,0.38,0.28,0.26,0.44,0.38,0.36,0.35
Нижегородская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Поданные,0.03,0.03,NA,NA,NA,NA,NA,NA
Нижегородская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Принятые,0.04,0.04,NA,NA,NA,NA,NA,NA
Нижегородская область,3,Здравоохранение и медицинские науки,36,3.36.00.00 - Ветеринария и зоотехния,Поданные,0.56,0.49,0.87,0.46,0.47,0.29,0.25,0.21
