region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, коммерция",0.54,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, бюджет",2.71,2.38,2.81,3.32,2.54,2.91,2.82,3.11
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, коммерция",1.07,1.26,0.82,2.1,2.08,0.92,1.47,1.21
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, бюджет",1.92,0,0,0.03,0.03,0,0,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, коммерция",1.1,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, бюджет",6.05,5.38,2.83,1.74,1.95,1.26,1.65,1.75
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, коммерция",3.04,1.44,1.14,1.42,0.55,0.07,0,0.7
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, бюджет",9.22,0.14,0.03,0.07,0.07,0.03,0.13,0.16
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, коммерция",3.98,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, бюджет",0.45,0.92,0.69,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Подано, коммерция",0,0,0.05,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, бюджет",0.22,0,0,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, бюджет",2.45,1.72,1.55,1.88,1.77,2.18,2.51,2.96
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Подано, коммерция",2.42,2.08,2.32,3.09,3.34,2.37,2.12,3.02
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, бюджет",1.48,0.93,0.85,0.1,0,0.03,0.1,0.16
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия","Принято, коммерция",2.3,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, бюджет",1.7,1.31,1.24,1.31,1.58,0.93,0.77,0.84
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Подано, коммерция",0.03,0,0,0.04,0.14,0.01,0.09,0.05
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, бюджет",2.34,0.04,0,0.03,0.03,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,"Принято, коммерция",0.05,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, бюджет",10.98,11.03,11,10.47,12.61,10.6,9.72,8.64
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Подано, коммерция",10.93,12.77,10.21,8.51,6.23,6.19,4.83,3.83
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, бюджет",9.42,0.11,0.27,0.03,0.1,0.35,0.23,0.72
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,"Принято, коммерция",11.34,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, бюджет",0.82,0.37,0.36,0.64,0.28,0.29,0.28,0.26
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Подано, коммерция",0.03,0,0,0.07,0.14,0.02,0.37,0.19
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, бюджет",0.44,0,0,0,0,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,"Принято, коммерция",0.05,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,"Подано, бюджет",2.69,3.06,3.25,3.14,2.89,3.47,3.15,3.2
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,"Подано, коммерция",0,0.46,0.04,0.28,0.68,1.11,0.68,0.8
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,"Принято, бюджет",2.09,0.72,0.68,0.66,0.65,0.64,0.67,0.88
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Подано, бюджет",1.9,2.08,2.01,2.4,3.13,2.66,2.53,2.03
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Подано, коммерция",0.29,1.17,0.96,1.13,1.05,0.68,0.37,0.46
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Принято, бюджет",2.78,3.44,4.67,6.26,5.47,3.87,4.11,4.79
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,"Принято, коммерция",0.4,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Подано, бюджет",0.83,1.05,1.73,1.3,0.69,0.74,0.63,0.45
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Подано, коммерция",0.66,1.45,1.11,0.66,0.18,0.32,0.1,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Принято, бюджет",0.57,0,0,0,0,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,"Принято, коммерция",0.47,NA,NA,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Подано, бюджет",0.91,0.92,0.58,0.63,0.67,0.48,0.45,0.35
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Подано, коммерция",0,0,0,0,0,0,0,0.01
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Принято, бюджет",1.75,0.07,0.03,0.17,0.1,0.06,0.03,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,"Принято, коммерция",0,NA,NA,NA,NA,NA,NA,NA
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Подано, бюджет",3.44,5.42,6.6,5.6,4.48,5.54,4.88,4.98
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Подано, коммерция",5.12,4.12,9.29,8.91,5.42,7.33,9.93,8.49
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Принято, бюджет",2.55,8.91,9,8.71,9.82,9.34,10.06,8.27
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,"Принято, коммерция",3.75,NA,NA,NA,NA,NA,NA,NA
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Подано, бюджет",1.1,2.8,1.39,1.18,1.11,0.97,0.64,1.21
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Подано, коммерция",6.3,2.92,4.45,4.48,2.51,3.88,3.41,2.77
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Принято, бюджет",0.57,0.07,0,0,0,0,0.03,0
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,"Принято, коммерция",6.19,NA,NA,NA,NA,NA,NA,NA
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,"Подано, бюджет",4.26,6.49,4.23,6.81,5.73,6.11,5.97,5.56
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,"Подано, коммерция",6.62,6.17,9.1,11.62,7.31,9.35,8.12,7.51
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,"Принято, бюджет",3.57,2.43,0.07,0.07,0.13,0.19,0.2,0.12
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,"Принято, коммерция",6.98,NA,NA,NA,NA,NA,NA,NA
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство","Подано, бюджет",5.99,7.27,7.05,5.92,4.48,6.27,5.52,4.03
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство","Подано, коммерция",1.16,1.18,0.79,0.89,0.66,0.48,0.2,0.28
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство","Принято, бюджет",10.24,0.18,0.24,0.36,0.16,0.19,0.13,0.28
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство","Принято, коммерция",1.36,NA,NA,NA,NA,NA,NA,NA
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,"Подано, бюджет",0.34,0.49,0.31,0.36,0.37,0.49,0.35,1.08
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,"Подано, коммерция",0.03,0,0.05,0.22,0.04,0,0.87,1.33
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,"Принято, бюджет",0.65,0.11,0,0.07,0.07,0.06,0.03,0.04
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,"Принято, коммерция",0.05,NA,NA,NA,NA,NA,NA,NA
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,"Подано, бюджет",9.63,5.47,5.77,5.02,8.32,6.74,8.33,8.12
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,"Подано, коммерция",18.99,16.4,14.5,11.65,12.87,11.1,11.27,11.11
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,"Принято, бюджет",6.21,7.19,7.44,7.52,7.09,2.77,2.84,3.35
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,"Принято, коммерция",19.12,NA,NA,NA,NA,NA,NA,NA
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,"Подано, бюджет",0,0.22,0.29,0.33,0.44,0.59,0.3,0.22
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,"Подано, коммерция",0.86,0.55,0.36,0.13,0.05,0.31,0.39,0.86
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,"Принято, бюджет",0,0,0.27,0.17,0.55,0.1,0.07,0
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,"Принято, коммерция",0.77,NA,NA,NA,NA,NA,NA,NA
Омская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,"Подано, бюджет",1.97,0.89,1.19,1.42,0.12,0.87,3.12,1.21
Омская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,"Подано, коммерция",26.08,22.82,20.74,20.74,27.66,27.91,25.89,27.41
Омская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,"Принято, бюджет",0.61,0,0,0,0.07,0,0,0.04
