region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Ростовская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи","Принято, коммерция",1.33,14.55,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, бюджет",2.33,2.12,2.19,1.97,1.83,2.17,2.03,1.84
Ростовская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Подано, коммерция",0.66,0.8,0.7,0.45,0.3,0.3,0.38,0.37
Ростовская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, бюджет",2.57,0.78,0.84,0,0.08,0.1,0.03,0.09
Ростовская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,"Принято, коммерция",0.67,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Подано, бюджет",0.1,0.1,0.08,0.08,0.16,0.26,0.25,0.14
Ростовская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Подано, коммерция",0.11,0.12,0.12,0.17,0.16,0.3,0.07,0.36
Ростовская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Принято, бюджет",0.11,0,0,0.03,0,0,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",14,2.14.00.00 - Ядерная энергетика и технологии,"Принято, коммерция",0.12,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, бюджет",7.92,7.56,7.38,7.46,7.51,7.93,7.99,8.43
Ростовская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Подано, коммерция",1.49,1.11,1.95,1.55,2.73,2.33,1.08,2.02
Ростовская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, бюджет",9.76,0.19,0.24,0.28,0.2,1.03,0.38,1.29
Ростовская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,"Принято, коммерция",1.86,18.18,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, бюджет",0.5,0.36,0.14,0.19,0.15,0.17,0.17,0.16
Ростовская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Подано, коммерция",0.1,0.22,0.3,0.25,0.18,0.23,0.01,0.18
Ростовская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, бюджет",0.63,0,0,0,0.03,0,0,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,"Принято, коммерция",0.12,0,NA,NA,NA,0,NA,NA
Ростовская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, бюджет",6.13,2.63,1.6,1.5,1.37,0.06,0.06,0.04
Ростовская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Подано, коммерция",1.75,0.82,0.61,0.35,0.31,0,0.01,0
Ростовская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,"Принято, бюджет",8.27,0.08,0.13,0.05,0.08,0,0,0
