Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
1;Математические и естественные науки;1.05.00.00 - Науки о Земле;ВО;Бакалавриат;1.05.03.06 - Экология и природопользование;05.03.06 - Экология и природопользование;05.03.06;Экология и природопользование;Добыча полезных ископаемых;;
1;Математические и естественные науки;1.05.00.00 - Науки о Земле;ВО;Специалитет;1.05.05.01 - Метеорология специального назначения;05.05.01 - Метеорология специального назначения;05.05.01;Метеорология специального назначения;Безопасность;;
1;Математические и естественные науки;1.05.00.00 - Науки о Земле;ВО;Специалитет;1.05.05.02 - Военная картография;05.05.02 - Военная картография;05.05.02;Военная картография;Безопасность;;
1;Математические и естественные науки;1.06.00.00 - Биологические науки;ВО;Бакалавриат;1.06.03.01 - Биология;06.03.01 - Биология;06.03.01;Биология;Образование и наука;;
1;Математические и естественные науки;1.06.00.00 - Биологические науки;ВО;Бакалавриат;1.06.03.02 - Почвоведение;06.03.02 - Почвоведение;06.03.02;Почвоведение;Агропромышленность;;
1;Математические и естественные науки;1.06.00.00 - Биологические науки;ВО;Специалитет;1.06.05.01 - Биоинженерия и биоинформатика;06.05.01 - Биоинженерия и биоинформатика;06.05.01;Биоинженерия и биоинформатика;Здравоохранение и медицина;;
1;Математические и естественные науки;1.06.00.00 - Биологические науки;ВО;Специалитет;1.06.05.02 - Фундаментальная и прикладная биология;06.05.02 - Фундаментальная и прикладная биология;06.05.02;Фундаментальная и прикладная биология;Здравоохранение и медицина;;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;СПО;Подготовка специалистов среднего звена;2.07.02.01 - Архитектура;07.02.01 - Архитектура;07.02.01;Архитектура;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.01 - Архитектура;07.03.01 - Архитектура;07.03.01;Архитектура;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.02 - Реконструкция и реставрация архитектурного наследия;07.03.02 - Реконструкция и реставрация архитектурного наследия;07.03.02;Реконструкция и реставрация архитектурного наследия;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.03 - Дизайн архитектурной среды;07.03.03 - Дизайн архитектурной среды;07.03.03;Дизайн архитектурной среды;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.07.00.00 - Архитектура;ВО;Бакалавриат;2.07.03.04 - Градостроительство;07.03.04 - Градостроительство;07.03.04;Градостроительство;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.01 - Изготовитель арматурных сеток и каркасов;08.01.01 - Изготовитель арматурных сеток и каркасов;08.01.01;Изготовитель арматурных сеток и каркасов;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.02 - Монтажник трубопроводов;08.01.02 - Монтажник трубопроводов;08.01.02;Монтажник трубопроводов;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.03 - Трубоклад;08.01.03 - Трубоклад;08.01.03;Трубоклад;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.04 - Кровельщик;08.01.04 - Кровельщик;08.01.04;Кровельщик;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.05 - Мастер столярно-плотничных и паркетных работ;08.01.05 - Мастер столярно-плотничных и паркетных работ;08.01.05;Мастер столярно-плотничных и паркетных работ;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.06 - Мастер сухого строительства;08.01.06 - Мастер сухого строительства;08.01.06;Мастер сухого строительства;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.07 - Мастер общестроительных работ;08.01.07 - Мастер общестроительных работ;08.01.07;Мастер общестроительных работ;Архитектура, строительство и недвижимость;;
2;Инженерное дело, технологии и технические науки;2.08.00.00 - Техника и технологии строительства;СПО;Подготовка квалифицированных рабочих, служащих;2.08.01.08 - Мастер отделочных строительных работ;08.01.08 - Мастер отделочных строительных работ;08.01.08;Мастер отделочных строительных работ;Архитектура, строительство и недвижимость;;
