Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.02 - Техническая эксплуатация оборудования для производства электронной техники;15.02.02 - Техническая эксплуатация оборудования для производства электронной техники;15.02.02;Техническая эксплуатация оборудования для производства электронной техники;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.03 - Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики;15.02.03 - Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики;15.02.03;Техническая эксплуатация гидравлических машин, гидроприводов и гидропневмоавтоматики;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.04 - Специальные машины и устройства;15.02.04 - Специальные машины и устройства;15.02.04;Специальные машины и устройства;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.05 - Техническая эксплуатация оборудования в торговле и общественном питании;15.02.05 - Техническая эксплуатация оборудования в торговле и общественном питании;15.02.05;Техническая эксплуатация оборудования в торговле и общественном питании;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.06 - Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям);15.02.06 - Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям);15.02.06;Монтаж и техническая эксплуатация холодильно-компрессорных машин и установок (по отраслям);Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.07 - Автоматизация технологических процессов и производств (по отраслям);15.02.07 - Автоматизация технологических процессов и производств (по отраслям);15.02.07;Автоматизация технологических процессов и производств (по отраслям);Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.08 - Технология машиностроения;15.02.08 - Технология машиностроения;15.02.08;Технология машиностроения;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.09 - Аддитивные технологии;15.02.09 - Аддитивные технологии;15.02.09;Аддитивные технологии;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.10 - Мехатроника и мобильная робототехника (по отраслям);15.02.10 - Мехатроника и мобильная робототехника (по отраслям);15.02.10;Мехатроника и мобильная робототехника (по отраслям);Машиностроение и производство транспортных средств;Электроника и приборостроение;Информационные технологии (IT) и телекоммуникации
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.11 - Техническая эксплуатация и обслуживание роботизированного производства;15.02.11 - Техническая эксплуатация и обслуживание роботизированного производства;15.02.11;Техническая эксплуатация и обслуживание роботизированного производства;Электроника и приборостроение;Информационные технологии (IT) и телекоммуникации;Машиностроение и производство транспортных средств
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.12 - Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям);15.02.12 - Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям);15.02.12;Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям);Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;;;15.02.13;Техническое обслуживание и ремонт систем вентиляции и кондиционирования;;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.14 - Оснащение средствами автоматизации технологических процессов и производств (по отраслям);15.02.14 - Оснащение средствами автоматизации технологических процессов и производств (по отраслям);15.02.14;Оснащение средствами автоматизации технологических процессов и производств (по отраслям);Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.15 - Технология машиностроения;15.02.15 - Технология машиностроения;15.02.15;Технология металлообрабатывающего производства;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;2.15.02.16 - Технология машиностроения;15.02.16 - Технология машиностроения;15.02.16;Технология машиностроения;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;СПО;Подготовка специалистов среднего звена;;;15.02.17;Монтаж, техническое обслуживание, эксплуатация и ремонт промышленного оборудования (по отраслям);;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.01 - Машиностроение;15.03.01 - Машиностроение;15.03.01;Машиностроение;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.02 - Технологические машины и оборудование;15.03.02 - Технологические машины и оборудование;15.03.02;Технологические машины и оборудование;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.03 - Прикладная механика;15.03.03 - Прикладная механика;15.03.03;Прикладная механика;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.04 - Автоматизация технологических процессов и производств;15.03.04 - Автоматизация технологических процессов и производств;15.03.04;Автоматизация технологических процессов и производств;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.05 - Конструкторско-технологическое обеспечение машиностроительных производств;15.03.05 - Конструкторско-технологическое обеспечение машиностроительных производств;15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Бакалавриат;2.15.03.06 - Мехатроника и робототехника;15.03.06 - Мехатроника и робототехника;15.03.06;Мехатроника и робототехника;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.15.00.00 - Машиностроение;ВО;Специалитет;2.15.05.01 - Проектирование технологических машин и комплексов;15.05.01 - Проектирование технологических машин и комплексов;15.05.01;Проектирование технологических машин и комплексов;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.16.00.00 - Физико-технические науки и технологии;ВО;Бакалавриат;2.16.03.01 - Техническая физика;16.03.01 - Техническая физика;16.03.01;Техническая физика;Электроника и приборостроение;Машиностроение и производство транспортных средств;
2;Инженерное дело, технологии и технические науки;2.16.00.00 - Физико-технические науки и технологии;ВО;Бакалавриат;2.16.03.02 - Высокотехнологические плазменные и энергетические установки;16.03.02 - Высокотехнологические плазменные и энергетические установки;16.03.02;Высокотехнологические плазменные и энергетические установки;Электроника и приборостроение;;
2;Инженерное дело, технологии и технические науки;2.16.00.00 - Физико-технические науки и технологии;ВО;Бакалавриат;2.16.03.03 - Холодильная, криогенная техника и системы жизнеобеспечения;16.03.03 - Холодильная, криогенная техника и системы жизнеобеспечения;16.03.03;Холодильная, криогенная техника и системы жизнеобеспечения;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.16.00.00 - Физико-технические науки и технологии;ВО;Специалитет;2.16.05.01 - Специальные системы жизнеобеспечения;16.05.01 - Специальные системы жизнеобеспечения;16.05.01;Специальные системы жизнеобеспечения;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.17.00.00 - Оружие и системы вооружения;ВО;Бакалавриат;2.17.03.01 - Корабельное вооружение;17.03.01 - Корабельное вооружение;17.03.01;Корабельное вооружение;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.17.00.00 - Оружие и системы вооружения;ВО;Специалитет;2.17.05.01 - Боеприпасы и взрыватели;17.05.01 - Боеприпасы и взрыватели;17.05.01;Боеприпасы и взрыватели;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.17.00.00 - Оружие и системы вооружения;ВО;Специалитет;2.17.05.02 - Стрелково-пушечное, артиллерийское и ракетное оружие;17.05.02 - Стрелково-пушечное, артиллерийское и ракетное оружие;17.05.02;Стрелково-пушечное, артиллерийское и ракетное оружие;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.17.00.00 - Оружие и системы вооружения;ВО;Специалитет;2.17.05.03 - Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем;17.05.03 - Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем;17.05.03;Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.17.00.00 - Оружие и системы вооружения;ВО;Специалитет;2.17.05.04 - Технологии веществ и материалов в вооружении и военной технике;17.05.04 - Технологии веществ и материалов в вооружении и военной технике;17.05.04;Технологии веществ и материалов в вооружении и военной технике;Машиностроение и производство транспортных средств;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.01 - Лаборант по физико-механическим испытаниям;18.01.01 - Лаборант по физико-механическим испытаниям;18.01.01;Лаборант по физико-механическим испытаниям;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.02 - Лаборант-эколог;18.01.02 - Лаборант-эколог;18.01.02;Лаборант-эколог;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.03 - Аппаратчик-оператор экологических установок;18.01.03 - Аппаратчик-оператор экологических установок;18.01.03;Аппаратчик-оператор экологических установок;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.04 - Изготовитель изделий строительной керамики;18.01.04 - Изготовитель изделий строительной керамики;18.01.04;Изготовитель изделий строительной керамики;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.05 - Аппаратчик-оператор производства неорганических веществ;18.01.05 - Аппаратчик-оператор производства неорганических веществ;18.01.05;Аппаратчик-оператор производства неорганических веществ;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.06 - Оператор производства стекловолокна, стекловолокнистых материалов и изделий стеклопластиков;18.01.06 - Оператор производства стекловолокна, стекловолокнистых материалов и изделий стеклопластиков;18.01.06;Оператор производства стекловолокна, стекловолокнистых материалов и изделий стеклопластиков;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.07 - Аппаратчик производства стекловолокнистых материалов и стеклопластиков;18.01.07 - Аппаратчик производства стекловолокнистых материалов и стеклопластиков;18.01.07;Аппаратчик производства стекловолокнистых материалов и стеклопластиков;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.08 - Мастер-изготовитель деталей и изделий из стекла;18.01.08 - Мастер-изготовитель деталей и изделий из стекла;18.01.08;Мастер-изготовитель деталей и изделий из стекла;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.09 - Мастер-обработчик стекла и стеклоизделий;18.01.09 - Мастер-обработчик стекла и стеклоизделий;18.01.09;Мастер-обработчик стекла и стеклоизделий;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.10 - Отдельщик и резчик стекла;18.01.10 - Отдельщик и резчик стекла;18.01.10;Отдельщик и резчик стекла;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.11 - Контролер стекольного производства;18.01.11 - Контролер стекольного производства;18.01.11;Контролер стекольного производства;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.12 - Изготовитель фарфоровых и фаянсовых изделий;18.01.12 - Изготовитель фарфоровых и фаянсовых изделий;18.01.12;Изготовитель фарфоровых и фаянсовых изделий;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.13 - Отделочник и комплектовщик фарфоровых и фаянсовых изделий;18.01.13 - Отделочник и комплектовщик фарфоровых и фаянсовых изделий;18.01.13;Отделочник и комплектовщик фарфоровых и фаянсовых изделий;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.14 - Контролер-приемщик фарфоровых, фаянсовых и керамических изделий;18.01.14 - Контролер-приемщик фарфоровых, фаянсовых и керамических изделий;18.01.14;Контролер-приемщик фарфоровых, фаянсовых и керамических изделий;Силикатная промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.15 - Изготовитель эмалированной посуды;18.01.15 - Изготовитель эмалированной посуды;18.01.15;Изготовитель эмалированной посуды;Культура и искусство;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.16 - Аппаратчик в производстве химических волокон;18.01.16 - Аппаратчик в производстве химических волокон;18.01.16;Аппаратчик в производстве химических волокон;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.17 - Оператор в производстве химических волокон;18.01.17 - Оператор в производстве химических волокон;18.01.17;Оператор в производстве химических волокон;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.18 - Аппаратчик производства синтетических смол и пластических масс;18.01.18 - Аппаратчик производства синтетических смол и пластических масс;18.01.18;Аппаратчик производства синтетических смол и пластических масс;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.19 - Машинист-оператор в производстве изделий из пластмасс;18.01.19 - Машинист-оператор в производстве изделий из пластмасс;18.01.19;Машинист-оператор в производстве изделий из пластмасс;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.20 - Прессовщик изделий из пластмасс;18.01.20 - Прессовщик изделий из пластмасс;18.01.20;Прессовщик изделий из пластмасс;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.21 - Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей, резиновых технических изделий и шин;18.01.21 - Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей, резиновых технических изделий и шин;18.01.21;Машинист-аппаратчик подготовительных процессов в производстве резиновых смесей, резиновых технических изделий и шин;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.22 - Оператор в производстве шин;18.01.22 - Оператор в производстве шин;18.01.22;Оператор в производстве шин;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.23 - Оператор процессов вулканизации;18.01.23 - Оператор процессов вулканизации;18.01.23;Оператор процессов вулканизации;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.24 - Мастер шиномонтажной мастерской;18.01.24 - Мастер шиномонтажной мастерской;18.01.24;Мастер шиномонтажной мастерской;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.25 - Оператор в производстве резиновых технических изделий и обуви;18.01.25 - Оператор в производстве резиновых технических изделий и обуви;18.01.25;Оператор в производстве резиновых технических изделий и обуви;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.26 - Аппаратчик-оператор нефтехимического производства;18.01.26 - Аппаратчик-оператор нефтехимического производства;18.01.26;Аппаратчик-оператор нефтехимического производства;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.27 - Машинист технологических насосов и компрессоров;18.01.27 - Машинист технологических насосов и компрессоров;18.01.27;Машинист технологических насосов и компрессоров;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.28 - Оператор нефтепереработки;18.01.28 - Оператор нефтепереработки;18.01.28;Оператор нефтепереработки;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.29 - Мастер по обслуживанию магистральных трубопроводов;18.01.29 - Мастер по обслуживанию магистральных трубопроводов;18.01.29;Мастер по обслуживанию магистральных трубопроводов;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.30 - Аппаратчик-оператор коксохимического производства;18.01.30 - Аппаратчик-оператор коксохимического производства;18.01.30;Аппаратчик-оператор коксохимического производства;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.31 - Машинист машин коксохимического производства;18.01.31 - Машинист машин коксохимического производства;18.01.31;Машинист машин коксохимического производства;Топливно-энергетический комплекс (ТЭК);;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.32 - Аппаратчик-оператор азотных производств и продуктов органического синтеза;18.01.32 - Аппаратчик-оператор азотных производств и продуктов органического синтеза;18.01.32;Аппаратчик-оператор азотных производств и продуктов органического синтеза;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка квалифицированных рабочих, служащих;2.18.01.33 - Лаборант по контролю качества сырья, реактивов, промежуточных продуктов, готовой продукции, отходов производства (по отраслям) ;18.01.33 - Лаборант по контролю качества сырья, реактивов, промежуточных продуктов, готовой продукции, отходов производства (по отраслям);18.01.33;Лаборант по контролю качества сырья, реактивов, промежуточных продуктов, готовой продукции, отходов производства (по отраслям);Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.01 - Аналитический контроль качества химических соединений;18.02.01 - Аналитический контроль качества химических соединений;18.02.01;Аналитический контроль качества химических соединений;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.02 - Химическая технология отделочного производства и обработки изделий;18.02.02 - Химическая технология отделочного производства и обработки изделий;18.02.02;Химическая технология отделочного производства и обработки изделий;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.03 - Химическая технология неорганических веществ;18.02.03 - Химическая технология неорганических веществ;18.02.03;Химическая технология неорганических веществ;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.04 - Электрохимическое производство;18.02.04 - Электрохимическое производство;18.02.04;Электрохимическое производство;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.05 - Производство тугоплавких неметаллических и силикатных материалов и изделий;18.02.05 - Производство тугоплавких неметаллических и силикатных материалов и изделий;18.02.05;Производство тугоплавких неметаллических и силикатных материалов и изделий;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.06 - Химическая технология органических веществ;18.02.06 - Химическая технология органических веществ;18.02.06;Химическая технология органических веществ;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.07 - Технология производства и переработки пластических масс и эластомеров;18.02.07 - Технология производства и переработки пластических масс и эластомеров;18.02.07;Технология производства и переработки пластических масс и эластомеров;Химическая промышленность;;
2;Инженерное дело, технологии и технические науки;2.18.00.00 - Химические технологии;СПО;Подготовка специалистов среднего звена;2.18.02.08 - Технология кинофотоматериалов и магнитных носителей;18.02.08 - Технология кинофотоматериалов и магнитных носителей;18.02.08;Технология кинофотоматериалов и магнитных носителей;Химическая промышленность;;
