field;field_name;group_code_name;edulvl;edulvl_2;code_name_official;code_name;code_old;code;spec_name;comment
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;СПО;Подготовка специалистов среднего звена;3.31.02.03 - Лабораторная диагностика;31.02.03 - Лабораторная диагностика;;31.02.03;Лабораторная диагностика;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;СПО;Подготовка специалистов среднего звена;3.31.02.04 - Медицинская оптика;31.02.04 - Медицинская оптика;;31.02.04;Медицинская оптика;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;СПО;Подготовка специалистов среднего звена;3.31.02.05 - Стоматология ортопедическая;31.02.05 - Стоматология ортопедическая;;31.02.05;Стоматология ортопедическая;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;СПО;Подготовка специалистов среднего звена;3.31.02.06 - Стоматология профилактическая;31.02.06 - Стоматология профилактическая;;31.02.06;Стоматология профилактическая;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;ВО;Специалитет;3.31.05.01 - Лечебное дело;31.05.01 - Лечебное дело;;31.05.01;Лечебное дело;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;ВО;Специалитет;3.31.05.02 - Педиатрия;31.05.02 - Педиатрия;;31.05.02;Педиатрия;
3;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;ВО;Специалитет;3.31.05.03 - Стоматология;31.05.03 - Стоматология;;31.05.03;Стоматология;
4;Здравоохранение и медицинские науки;3.31.00.00 - Клиническая медицина;ВО;Специалитет;3.31.05.04 - Остеопатия;31.05.04 - Остеопатия;;31.05.04;Остеопатия;
3;Здравоохранение и медицинские науки;3.32.00.00 - Науки о здоровье и профилактическая медицина;СПО;Подготовка специалистов среднего звена;3.32.02.01 - Медико-профилактическое дело;32.02.01 - Медико-профилактическое дело;;32.02.01;Медико-профилактическое дело;
3;Здравоохранение и медицинские науки;3.32.00.00 - Науки о здоровье и профилактическая медицина;ВО;Специалитет;3.32.05.01 - Медико-профилактическое дело;32.05.01 - Медико-профилактическое дело;;32.05.01;Медико-профилактическое дело;
3;Здравоохранение и медицинские науки;3.33.00.00 - Фармация;СПО;Подготовка специалистов среднего звена;3.33.02.01 - Фармация;33.02.01 - Фармация;;33.02.01;Фармация;
3;Здравоохранение и медицинские науки;3.33.00.00 - Фармация;ВО;Специалитет;3.33.05.01 - Фармация;33.05.01 - Фармация;;33.05.01;Фармация;
3;Здравоохранение и медицинские науки;3.34.00.00 - Сестринское дело;ВО;Бакалавриат;3.34.03.01 - Сестринское дело;34.03.01 - Сестринское дело;;34.03.01;Сестринское дело;
